IMDB id,Title,Year,Rating,Genre,Top_cast,Top casts
tt0071307,36 Ghante,1974.0,6.7,"Action, Crime, Drama",RaajKumar MalaSinha SunilDutt VijayArora DannyDenzongpa,"Raaj Kumar, Mala Sinha, Sunil Dutt, Vijay Arora, Danny Denzongpa"
tt0315319,Boxer,1984.0,6.5,"Action, Drama, Sport",TanujaSamarth MithunChakraborty RatiAgnihotri SharatSaxena ParikshitSahni,"Tanuja Samarth, Mithun Chakraborty, Rati Agnihotri, Sharat Saxena, Parikshit Sahni"
tt0172175,Bhabhi,1991.0,4.3,"Comedy, Drama, Family",Bhanupriya Govinda JuhiChawla GulshanGrover AnandBalraj,"Bhanupriya, Govinda, Juhi Chawla, Gulshan Grover, Anand Balraj"
tt0449870,Chehraa,2005.0,4.3,Thriller,BipashaBasu DinoMorea PreetiJhangiani IrrfanKhan GovindNamdeo,"Bipasha Basu, Dino Morea, Preeti Jhangiani, Irrfan Khan, Govind Namdeo"
tt0157917,Lakhon Ki Baat,1984.0,6.6,"Comedy, Musical, Romance",SanjeevKumar FarooqShaikh AnitaRaj AnjaliVyas UtpalDutt,"Sanjeev Kumar, Farooq Shaikh, Anita Raj, Anjali Vyas, Utpal Dutt"
tt0207513,Hindustan Ki Kasam,1999.0,3.5,"Action, Drama",AmitabhBachchan AjayDevgn ManishaKoirala SushmitaSen FaridaJalal,"Amitabh Bachchan, Ajay Devgn, Manisha Koirala, Sushmita Sen, Farida Jalal"
tt0361772,Jeete Hain Shaan Se,1988.0,4.8,"Action, Drama, Romance",MithunChakraborty SanjayDutt Govinda Mandakini VijayataPandit,"Mithun Chakraborty, Sanjay Dutt, Govinda, Mandakini, Vijayata Pandit"
tt3877652,Desi Kattey,2014.0,4.2,Action,AkhilKapur TiaBajpai JayBhanushali ZaraKhan KrishAnand,"Akhil Kapur, Tia Bajpai, Jay Bhanushali, Zara Khan, Krish Anand"
tt3465488,Karle Pyaar Karle,2014.0,2.5,"Action, Romance",ShivDarshan HasleenKaur AhamSharma RumiKhan TanyaMalik,"Shiv Darshan, Hasleen Kaur, Aham Sharma, Rumi Khan, Tanya Malik"
tt0177490,Aghaat,1985.0,7.7,"Drama, Crime",OmPuri BharatGopy PankajKapur NaseeruddinShah DeepaSahi,"Om Puri, Bharat Gopy, Pankaj Kapur, Naseeruddin Shah, Deepa Sahi"
tt0156290,Anubhav,1971.0,7.5,Drama,SanjeevKumar TanujaSamarth DineshThakur A.K.Hangal PareshNanda,"Sanjeev Kumar, Tanuja Samarth, Dinesh Thakur, A.K. Hangal, Paresh Nanda"
tt0364228,Barsaat Ki Raat,1998.0,4.9,Musical,Dharmendra DineshHingoo ShafiInamdar PoojaKapoor ShaktiKapoor,"Dharmendra, Dinesh Hingoo, Shafi Inamdar, Pooja Kapoor, Shakti Kapoor"
tt0145851,Jagriti,1955.0,7.9,"Comedy, Drama, Family",AbhiBhattacharya PranotiGhosh BipinGupta MumtazBegum RajKumarGupta,"Abhi Bhattacharya, Pranoti Ghosh, Bipin Gupta, Mumtaz Begum, Raj Kumar Gupta"
tt0100401,Pratibandh,1990.0,6.6,"Action, Drama",Chiranjeevi JuhiChawla RamiReddy HarishPatel J.V.Somayajulu,"Chiranjeevi, Juhi Chawla, Rami Reddy, Harish Patel, J.V. Somayajulu"
tt0087975,Raaj Tilak,1984.0,5.7,"Action, Drama",Dharmendra SunilDutt HemaMalini KamalHaasan RaajKumar,"Dharmendra, Sunil Dutt, Hema Malini, Kamal Haasan, Raaj Kumar"
tt0311401,Kissaa Kursee Kaa,1978.0,8.0,"Comedy, Drama, Fantasy",ShabanaAzmi RajBabbar ChamanBagga UtpalDutt RajKiran,"Shabana Azmi, Raj Babbar, Chaman Bagga, Utpal Dutt, Raj Kiran"
tt0246493,Chori Mera Kaam,1975.0,7.0,"Comedy, Musical, Romance",AshokKumar ShashiKapoor ZeenatAman PranSikand AnwarHussain,"Ashok Kumar, Shashi Kapoor, Zeenat Aman, Pran Sikand, Anwar Hussain"
tt0057555,Taj Mahal,1963.0,7.3,"Drama, History, Musical",BinaRai PradeepKumar JabeenJalil Veena JeevanKala,"Bina Rai, Pradeep Kumar, Jabeen Jalil, Veena, Jeevan Kala"
tt0058270,The Fog,1964.0,7.0,"Drama, Musical, Mystery",BiswajeetChatterjee WaheedaRehman LalitaPawar TarunBose MadanPuri,"Biswajeet Chatterjee, Waheeda Rehman, Lalita Pawar, Tarun Bose, Madan Puri"
tt0232734,Sunny,1984.0,5.6,"Drama, Romance",SunnyDeol AmritaSingh Dharmendra WaheedaRehman SharmilaTagore,"Sunny Deol, Amrita Singh, Dharmendra, Waheeda Rehman, Sharmila Tagore"
tt0106221,Aadmi Khilona Hai,1993.0,4.9,"Drama, Romance",Jeetendra ReenaRoy Govinda MeenakshiSheshadri LaxmikantBerde,"Jeetendra, Reena Roy, Govinda, Meenakshi Sheshadri, Laxmikant Berde"
tt2962230,Kaagaz Ke Fools,2015.0,3.9,Comedy,VinayPathak MugdhaGodse RaimaSen AmitBehl NishikantDixit,"Vinay Pathak, Mugdha Godse, Raima Sen, Amit Behl, Nishikant Dixit"
tt0301215,Doosara Aadmi,1977.0,6.6,"Drama, Family, Romance",ShashiKapoor RishiKapoor NeetuSingh RakheeGulzar DevenVerma,"Shashi Kapoor, Rishi Kapoor, Neetu Singh, Rakhee Gulzar, Deven Verma"
tt0090611,Allah-Rakha,1986.0,5.2,"Action, Drama",JackieShroff ShammiKapoor WaheedaRehman BiswajeetChatterjee DimpleKapadia,"Jackie Shroff, Shammi Kapoor, Waheeda Rehman, Biswajeet Chatterjee, Dimple Kapadia"
tt0173156,Saajan Ka Ghar,1994.0,4.2,Drama,RishiKapoor JuhiChawla DeepakTijori Farheen AnupamKher,"Rishi Kapoor, Juhi Chawla, Deepak Tijori, Farheen, Anupam Kher"
tt3197274,Showbiz Kids,2020.0,7.0,Documentary,CameronBoyce ToddBridges BabyPeggy RohithKalavacharla MarnieCooper,"Cameron Boyce, Todd Bridges, Baby Peggy, Rohith Kalavacharla, Marnie Cooper"
tt7723022,Nirdosh,2018.0,4.6,"Drama, Mystery, Thriller",AshmitPatel ManjariFadnnis ManishaKelkar AkashSinha GeetanjaliMishra,"Ashmit Patel, Manjari Fadnnis, Manisha Kelkar, Akash Sinha, Geetanjali Mishra"
tt1828289,Shagird,2011.0,7.0,"Action, Crime, Drama",NanaPatekar MohitAhlawat RimiSen AnuragKashyap ZakirHussain,"Nana Patekar, Mohit Ahlawat, Rimi Sen, Anurag Kashyap, Zakir Hussain"
tt0057120,Gumrah,1963.0,6.9,"Drama, Romance",AshokKumar MalaSinha SunilDutt NirupaRoy ShashikalaJawalkar,"Ashok Kumar, Mala Sinha, Sunil Dutt, Nirupa Roy, Shashikala Jawalkar"
tt0266757,Mehboob Ki Mehndi,1971.0,6.9,"Drama, Musical, Romance",RajeshKhanna LeenaChandavarkar PradeepKumar BabySonu Sunder,"Rajesh Khanna, Leena Chandavarkar, Pradeep Kumar, Baby Sonu, Sunder"
tt0122233,Melody,1997.0,6.6,"Drama, Musical",ShabanaAzmi ArunaIrani ZakirHussain AyeshaDharker ParikshitSahni,"Shabana Azmi, Aruna Irani, Zakir Hussain, Ayesha Dharker, Parikshit Sahni"
tt2668938,Meri Ganga Ki Saugandh,2003.0,7.0,Action,ShaktiKapoor AmitPachori SapnaSappu JoginderShelly,"Shakti Kapoor, Amit Pachori, Sapna Sappu, Joginder Shelly"
tt0064396,The Guru,1969.0,5.4,Comedy,RitaTushingham MichaelYork UtpalDutt MadhurJaffrey BarryFoster,"Rita Tushingham, Michael York, Utpal Dutt, Madhur Jaffrey, Barry Foster"
tt0286620,Fareb,1996.0,4.8,"Action, Crime, Drama",FaraazKhan SumanRanganath AshokLath VishwajeetPradhan MilindGunaji,"Faraaz Khan, Suman Ranganath, Ashok Lath, Vishwajeet Pradhan, Milind Gunaji"
tt0363887,Phool Bane Angaray,1991.0,4.5,"Action, Drama",Rekha Rajinikanth PremChopra CharanRaj ShafiInamdar,"Rekha, Rajinikanth, Prem Chopra, Charan Raj, Shafi Inamdar"
tt0011908,Adventures of Tarzan,1921.0,5.7,"Action, Adventure",ElmoLincoln LouiseLorraine ScottPembroke FrankWhitson ZipMonberg,"Elmo Lincoln, Louise Lorraine, Scott Pembroke, Frank Whitson, Zip Monberg"
